..###..... | ..........  -  ........#. | ..........
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ........CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | ......MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.....CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | .M....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.....CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | .M....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M....  -  ........#. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | .M....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC...M..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | .M....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC..MM..
........## | ..M....M..  -  .......... | MMMM......
........## | .M.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | .M....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC..MM..
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
######...# | .....M.M..  -  ..#....... | ........M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | .M....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC..MM..
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | MM....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...#. | M.MM....MM  -  ....####.. | .CCC..MM..
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | MM....MM..  -  ........#. | .....M....
........#. | ...C...M..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | MM....MM..  -  ........#. | .....M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..M.M...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | MM....MM..  -  ........#. | .....M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..###..... | MM..M.MM..  -  ........#. | .....M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | .....M.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M........
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | ....MM.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M....M...
*#**....*. | ...M.M....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | ....MM.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC...MC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | ....MM.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..M....M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | ....MM.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*####...# | ....MM.M..  -  ..#....... | .C......M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M..M..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMC.
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM....M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .......M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | ...MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .M.....M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .M.....M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CM.M.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MM...M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .M.....M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .M.....M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M......  -  ..#..##### | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM...CC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM....MM  -  ....####.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....M...
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..M.MM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....MM..
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..MMMM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........#. | ..M.MM..C.  -  ........*. | .M....MM..
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..MMMM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .M....MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.M..  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..#*#..... | MM..MMMM..  -  ........#. | ...C.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .M....MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | ..CC.M....
........#. | ...C..MM..  -  .##*##..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .M....MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | ..CC.M....
........#. | ...CC.MM..  -  .##**#..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .M....MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | ..CC.M....
........#. | ...CC.MM..  -  .##**#..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .MM...MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | ..CC.M....
........#. | ..CCC.MM..  -  .#***#..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .MM...MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | M.CC.M....
........#. | ..CCC.MM..  -  .#***#..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .MM...MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | M.CC.M....
........#. | .CCCC.MM..  -  .****#..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .MM...MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...M.M..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

..**#..... | MM..MMMM..  -  ........#. | M.CC.M....
........#. | .CCCC.MM..  -  .****#..#. | .M...MMM.M
........*. | ..M.MM..C.  -  ........*. | .MM...MMC.
*#**....*. | .M.MMM....  -  ........#. | C.CC..MMCM
.***#...*. | M.MM...CMM  -  ....###*.. | .CCC..MMC.
........## | ..MMM..M..  -  .......... | MMMM......
........## | MM.M....C.  -  ..#..###*# | .M...MMM..
........** | M.CM.MM.M.  -  ..*....... | ..MMM..MCC
#*##*#...# | ....MM.MM.  -  ..#....... | .C..C...M.
.....*.... | CM.MM..M.M  -  *.#..#.... | M.M..CMMM.

