.#........ | ..........  -  ..#....... | ..........
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..C.MM.M.  -  .##*#..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......#* | ......C...  -  .#....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | ...CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......#* | ......C...  -  .#....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | .M.CC.C...
........#. | ...M.M....  -  .#....#... | .......M.M
.#......#* | ......C...  -  .#....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....#.... | M..M......  -  .....##### | ..M....M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | .M.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | ......C...  -  .#....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..M......  -  .....##### | ..M..C.M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | .M.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | ......C...  -  .#....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ..........
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..M......  -  .....##### | ..M..C.M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | .M.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..M......  -  .....##### | ..M..C.M.M
.....#.... | ..M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | .M.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..M......  -  .....##### | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | .M.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..M......  -  .....##### | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM.....  -  .....##### | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.M...
.....*###. | ....M.MM..  -  .#........ | M.M.MC...M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM.....  -  .....##### | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.M...
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.M...
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | ...M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | .........M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | .C....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.#...*.... | ...MMM....  -  ..#....... | ....MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .C..MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ....M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .C..MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.M.MM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.#........ | M..M...MM.  -  ..#....... | ....M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | .C..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C...  -  .*....*.#. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | .C..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C.C.  -  .*....*.*. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC....C.C.  -  .*....*.*. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.M....C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMM..  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMMM.  -  .#........ | M.M.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M.....MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMMM.  -  .#........ | MMM.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**##. | ..M.MMMMM.  -  .#........ | MMM.MCC..M
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M.......  -  ...#####.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | .CM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | MCM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMM.M.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.#...#.... | ..C...MM..  -  ..*....... | ......M..M
.*...*.... | ...MMM....  -  ..#....... | MCM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.*...#.... | ..C...MM..  -  ..*....... | .A....M..M
.*...*.... | ...MMM....  -  ..#....... | MCM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M.....
.*...#.... | ..C...MM..  -  ..*....... | .A....M..M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M..M..
.*...#.... | ..C...MM..  -  ..*....... | .A....M..M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | M..MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......M.
.*........ | M..M...MM.  -  ..#....... | MC..M..M..
.*...#.... | ..C...MM..  -  ..*....... | .A....M..M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......MM
.*........ | M..M...MM.  -  ..#....... | MC..M..M..
.*...#.... | ..C...MM..  -  ..*....... | .A....M..M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......MM
.*........ | M..M...MM.  -  ..#....... | MC..M..M..
.*...#.... | ..C..MMM..  -  ..*....... | .A....M..M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......MM
.*........ | M..M...MM.  -  ..#....... | MC..M..M..
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...C...  -  ...###*#.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......MM
.*........ | M..M...MM.  -  ..#....... | MC..M..M..
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......MM
.*........ | M..M...MM.  -  ..#....... | MC..M..MM.
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C......MM
.*........ | M..M..MMM.  -  ..#....... | MC..M..MM.
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C...M..MM
.*........ | M..M..MMM.  -  ..#....... | MC..M..MM.
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C...M..MM
.*........ | M.CM..MMM.  -  ..*....... | MC..M..MM.
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*### | M..CCMMMM.  -  .##**..... | MM.CC.C...
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C...M..MM
.*........ | M.CM..MMM.  -  ..*....... | MC..M..MM.
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMM..M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*#*# | M..CCMMMM.  -  .##**..... | MM.CC.C.C.
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

.*........ | M...M.MMMM  -  ..#....... | .C...M..MM
.*........ | M.CM..MMM.  -  ..*....... | MC..M..MM.
.*...#.... | ..C..MMM..  -  ..*....... | .A....MM.M
.*...*.... | ...MMMM.M.  -  ..#....... | MCM.MCMM..
.....*.... | MM.MM...C.  -  .....###*# | ..M..C.M.M
.....#.... | M.M...CC..  -  ...###**.. | MM.MM.MM..
.....**#*. | ..M.MMMMM.  -  .#........ | MMM.MCC.CM
...**#*#*# | M..CCMMMM.  -  .##**..... | MM.CC.C.C.
........#. | .C.M.M....  -  .*....#... | .......M.M
.#......#* | MC...MC.C.  -  .*....*.*. | ..M.MM...C

